Year,Description,Category
1850,City of San Diego Incorporation,Civic
1853,San Diego County Board of Supervisors holds its first meeting,Civic
1887,National City Incorporation,Civic
1888,Escondido Incorporation,Civic
1888,Oceanside Incorporation,Civic
1890,Coronado Incorporation,Civic
1902,"By decision of the U.S. Supreme Court, Indian inhabitants of Cupa, San Felipe and nearby villages around Warner Springs are evicted and removed to lands near the Pala Reservation.",Civic
1911,Chula Vista Incorporation,Civic
1912,La Mesa Incorporation,Civic
1912,El Cajon Incorporation,Civic
1945,San Diego voters approve 2 million dollar bond issue to begin development of Mission Bay,Civic
1952,Carlsbad Incorporation,Civic
1955,"San Diego City Council offers the University of California, at no cost, “city-owned land for students who are desirous of entering into the professional field of engineering.”",Civic
1955,San Diego City Council offers 300-acre gift of Torrey Pines land to General Atomic,Civic
1956,Imperial Beach Incorporation,Civic
1959,land gifted for the UCSD campus,Civic
1959,Del Mar Incorporation,Civic
1960,"in a special referendum, the citizens of San Diego overwhelmingly voted support for the gift of these pueblo lands to the Salk Institute",Civic
1963,San Marcos Incorporation,Civic
1963,Vista Incorporation,Civic
1960,State approves proposition to deliver water from northern California as far south as San Diego.,Civic
1966,Local governments create the Comprehensive Planning Organization (CPO) as a long-range planning department within the San Diego County government under a state authorized joint powers agreement.,Civic
1970,Governor designates CPO as the Metropolitan Planning Organization to assure areawide coordination and to serve as the technical and informational resource for local governments.,Civic
1971,State further designates CPO as the Regional Transportation Planning Agency; Airport Land Use Commission; and Areawide Clearinghouse for federal/state grant reviews.,Civic
1972,Local governments establish CPO as an independent Joint Powers Agency.,Civic
1972,"San Diego is chosen as the site of Republican National Convention; in a last-minute about-face, Republicans announce plans to move convention site to Miami Beach. The loss of the convention prompted Mayor Pete Wilson to declare San Diego “America’s Finest City”.",Civic
1975,CPO develops & adopts first ever comprehensive Regional Transportation Plan.,Civic
1975,"Mayor Pete Wilson launches plans for a dramatic redevelopment of downtown San Diego, creating Centre City Development Corporation.",Civic
1977,Lemon Grove Incorporation,Civic
1978,The Local Technical Assistance (LTA) program is started for member governments. CPO helps establish the Automated Regional Justice Information System (ARJIS). CPO is jointly designated with County government to implement federal & state Clean Air Acts.,Civic
1980,Poway Incorporation,Civic
1980,Santee Incorporation,Civic
1980,CPO renames itself as the San Diego Association of Governments (SANDAG).,Civic
1986,Encinitas Incorporation,Civic
1986,Solana Beach Incorporation,Civic
1988,TransNet approved,Civic
1990,SANDAG helps start the San Dieguito River Valley Park Joint Powers Authority.,Civic
1990,"Former San Diego Mayor Pete Wilson is elected Governor of California, the state’s first governor from San Diego.",Civic
1993,Susan Golding elected Mayor of City of San DIego,Civic
1995,"The San Diego County Water Authority joins SANDAG as an advisory member. SANDAG plays a major role in bringing together, and most importantly, holding together, all participants in the San Diego County Investment Fund.",Civic
1996,"San Diego hosts Republican National Convention, first national political convention in San Diego history.",Civic
2000,"MTDB and NCTD join SANDAG as advisory members, and SANDAG joins the Joint Committee on Regional Transit.",Civic
2002,"SANDAG drafts a $42 billion, 30-year Regional Transportation Plan seeking to make public transit competitive with solo drivers during rush hours.",Civic
2003,"With the passage of state law (SB 1703), SANDAG becomes the consolidated regional agency on January 1. Transit planning, programming, project development, and construction will be consolidated into the regional agency during the next 13 months. Imperial County joins SANDAG as an advisory Board member.",Civic
2003,Imperial County joins SANDAG as an advisory Board member.,Civic
2004,The Automated Regional Justice System (ARJIS) is consolidated into SANDAG.,Civic
2005,The Independent Taxpayer Oversight Committee (ITOC) is formed in accordance with TransNet ordinance to monitor program operations.,Civic
2007,Southern California Tribal Chairman's Association joins SANDAG as advisory member.,Civic
2018,Approved the formation of a Regional Housing Needs Assessment (RHNA) Subcommittee to provide input and guidance during the development of the RHNA Plan.,Civic
2018,"Began recruitment for a SANDAG Independent Performance Auditor, who will report directly to the Board and Audit Committee and oversee and conduct independent examinations of SANDAG program, functions, and operations.",Civic
2018,"SANDAG’s binational partnership with the Mexican government was reinforced with the historic first visit of Honorable Luis Videgaray, the Secretary of Foreign Affairs of Mexico to a Board of Directors meeting.",Civic
1854,"Warner’s Pass (San Pasqual) road is declared a public road by the San Diego County Board of Supervisors, serving as a main road between San Diego and the Colorado River until 1868, when shorter routes to the south, leading through the pass at Jacumba, began to be used by stagecoaches.",Transportation
1857,James Birch establishes the “Jackass” mail route between San Diego and San Antonio; passengers must traverse the Oriflamme Canyon and Colorado Desert on muleback. Stage driver James E. Mason brings first overland mail to town and decides to settle here.,Transportation
1873,Thomas Scott of Pennsylvania Railroad sets off brief railroad boom with start of construction of Texas & Pacific Railroad from San Diego east,Transportation
1881,California Southern started to build San Diego’s first outside rail connection. a line from National City to Colton ,Transportation
1885,"to 1890 - saw the organization and construction of no fewer than five independent railroad lines: the Central California; the National City & Otay; the San Diego, Old Town & Pacific Beach; the Coronado; and the San Diego, Cuyamaca and Eastern. In addition, Santa Fe built a new link from Oceanside to Orange County — the “Surf Line,” and San Diego’s first horsedrawn trolleys began to ply the city’s streets. ",Transportation
1885,Transcontinental railroad reaches San Diego.,Transportation
1886,San Diego Street Car Company Begins Service,Transportation
1887,The first electric motor makes test run on new tracks up Broadway to Kettner and on to Old Town,Transportation
1912,"Spruce Street’s suspension bridge, between Front and Brant, was built to give residents access to the streetcars running along Fourth. The only suspension bridge still standing in the city was designed by Edwin M. Capps, City Engineer and later Mayor of San Diego.",Transportation
1914,"Cabrillo Bridge opens on April 12, 1914. The first car is driven across with Franklin D. Roosevelt, Assistant Secretary of the Navy, G. Aubrey Davidson, and Mayor Charles F. O’Neall as passengers.",Transportation
1915,The New Santa Fe Depot,Transportation
1922,First motor bus the #1 from Chula Vista to National City,Transportation
1928,"San Diego International Airport opened on August 16, 1928.",Transportation
1933,The eleventh district of the California Division of Highways was created,Transportation
1953,City Charter amendment was to give the City Council the authority to build or approve the construction of any roads in parks.,Transportation
1958,"Interstate Highway 8 opens in February, following ancient Indian trails through Mission Valley.",Transportation
1960,San Diego International Airport: United Airlines became the first airline to offer pure jet service in September 1960,Transportation
